character,variant,bone,axis,sign,angle_deg,volume,sx,sy,sz,volume_ratio,max_axis_ratio,max_vertex_disp,p50_disp,p95_disp,p99_disp,nan_count,inf_count,extreme_vertex_count,verdict
terere,4inf,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,90,1885404.437075,149.9963,75.6011,166.2632,0.7901,0.8758,1.269,0.0,0.0,1.16945,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Forearm,"1.0,0.0,0.0",-1.0,90,1885404.437075,149.9963,75.6011,166.2632,0.7901,0.8758,1.269,0.0,0.0,1.16891,0,0,0,HEALTHY
terere,original,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,original,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,30,2942549.454742,234.0991,75.6011,166.2632,1.2332,1.2332,0.55773,0.0,0.0,0.48827,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,30,2942549.454742,234.0991,75.6011,166.2632,1.2332,1.2332,0.55773,0.0,0.0,0.48827,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,30,2942549.454742,234.0991,75.6011,166.2632,1.2332,1.2332,0.55773,0.0,0.0,0.48827,0,0,0,HEALTHY
terere,original,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,60,4914706.942468,259.7848,113.7858,166.2632,2.0597,1.3685,1.07745,0.0,0.0,0.94327,0,0,0,STRESSED
terere,4inf,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,60,4914706.942468,259.7848,113.7858,166.2632,2.0597,1.3685,1.07745,0.0,0.0,0.94327,0,0,0,STRESSED
terere,twist_collapsed,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,60,4914706.942468,259.7848,113.7858,166.2632,2.0597,1.3685,1.07745,0.0,0.0,0.94327,0,0,0,STRESSED
terere,original,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,90,7007309.504459,257.9979,163.3575,166.2632,2.9367,1.3591,1.52374,0.0,0.0,1.33399,0,0,0,BROKEN
terere,4inf,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,90,7007309.504459,257.9979,163.3575,166.2632,2.9367,1.3591,1.52374,0.0,0.0,1.33399,0,0,0,BROKEN
terere,twist_collapsed,CC_Base_R_Forearm,"0.0,0.0,1.0",-1.0,90,7007310.158993,257.9979,163.3575,166.2632,2.9367,1.3591,1.52374,0.0,0.0,1.33399,0,0,0,BROKEN
terere,original,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,original,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,15,2586195.693931,189.8331,75.6011,180.2028,1.0838,1.0,0.16409,0.0,0.0754,0.14228,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,15,2586195.693931,189.8331,75.6011,180.2028,1.0838,1.0,0.16409,0.0,0.0754,0.14228,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,15,2586195.693931,189.8331,75.6011,180.2028,1.0838,1.0,0.16409,0.0,0.0754,0.14228,0,0,0,HEALTHY
terere,original,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,30,2791953.907498,189.8331,75.6011,194.5397,1.1701,1.0248,0.32538,0.0,0.14951,0.28212,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,30,2791953.907498,189.8331,75.6011,194.5397,1.1701,1.0248,0.32538,0.0,0.14951,0.28212,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,30,2791953.907498,189.8331,75.6011,194.5397,1.1701,1.0248,0.32538,0.0,0.14951,0.28212,0,0,0,HEALTHY
terere,original,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,45,2974338.890283,189.8331,75.8871,206.467,1.2465,1.0876,0.4811,0.0,0.22106,0.41714,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,45,2974338.890283,189.8331,75.8871,206.467,1.2465,1.0876,0.4811,0.0,0.22106,0.41714,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,45,2974338.890283,189.8331,75.8871,206.467,1.2465,1.0876,0.4811,0.0,0.22106,0.41714,0,0,0,HEALTHY
terere,original,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,60,3302834.411786,189.8331,80.838,215.2284,1.3842,1.1338,0.62859,0.0,0.28883,0.54502,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,60,3302834.411786,189.8331,80.838,215.2284,1.3842,1.1338,0.62859,0.0,0.28883,0.54502,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Thigh,"1.0,0.0,0.0",1.0,60,3302834.411786,189.8331,80.838,215.2284,1.3842,1.1338,0.62859,0.0,0.28883,0.54502,0,0,0,HEALTHY
terere,original,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,original,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,15,2586813.458598,189.8331,75.6011,180.2458,1.0841,1.0,0.16413,0.0,0.07399,0.14045,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,15,2586813.458598,189.8331,75.6011,180.2458,1.0841,1.0,0.16413,0.0,0.07399,0.1405,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,15,2586813.458598,189.8331,75.6011,180.2458,1.0841,1.0,0.16413,0.0,0.07399,0.14045,0,0,0,HEALTHY
terere,original,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,30,2792393.908794,189.8331,75.6011,194.5704,1.1703,1.025,0.32545,0.0,0.14672,0.2785,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,30,2792393.908794,189.8331,75.6011,194.5704,1.1703,1.025,0.32545,0.0,0.14672,0.27859,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,30,2792393.881421,189.8331,75.6011,194.5704,1.1703,1.025,0.32545,0.0,0.14672,0.2785,0,0,0,HEALTHY
terere,original,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,45,2972319.281176,189.8331,75.8154,206.522,1.2457,1.0879,0.48121,0.0,0.21694,0.41179,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,45,2972319.281176,189.8331,75.8154,206.522,1.2457,1.0879,0.48121,0.0,0.21694,0.41192,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,45,2972319.226274,189.8331,75.8154,206.522,1.2457,1.0879,0.48121,0.0,0.21694,0.41179,0,0,0,HEALTHY
terere,original,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,60,3305452.328636,189.8331,80.9137,215.1974,1.3853,1.1336,0.62873,0.0,0.28344,0.53803,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,60,3305452.328636,189.8331,80.9137,215.1974,1.3853,1.1336,0.62873,0.0,0.28344,0.5382,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Thigh,"1.0,0.0,0.0",1.0,60,3305452.211448,189.8331,80.9137,215.1974,1.3853,1.1336,0.62873,0.0,0.28344,0.53803,0,0,0,HEALTHY
terere,original,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,original,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,30,2694259.631843,189.8331,75.6011,187.7325,1.1291,1.0,0.25802,0.0,0.048,0.20608,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,30,2694259.631843,189.8331,75.6011,187.7325,1.1291,1.0,0.25802,0.0,0.048,0.20651,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,30,2694259.604469,189.8331,75.6011,187.7325,1.1291,1.0,0.25802,0.0,0.048,0.20608,0,0,0,HEALTHY
terere,original,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,60,2916162.599959,189.8331,75.6011,203.1944,1.2221,1.0704,0.49846,0.0,0.09272,0.39812,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,60,2916162.599959,189.8331,75.6011,203.1944,1.2221,1.0704,0.49846,0.0,0.09272,0.39896,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,60,2916162.545212,189.8331,75.6011,203.1944,1.2221,1.0704,0.49846,0.0,0.09272,0.39812,0,0,0,HEALTHY
terere,original,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,90,3149638.097827,189.8331,80.2368,206.7831,1.32,1.0893,0.70493,0.0,0.13113,0.56302,0,0,0,HEALTHY
terere,4inf,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,90,3149638.097827,189.8331,80.2368,206.7831,1.32,1.0893,0.70493,0.0,0.13113,0.56421,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_L_Calf,"1.0,0.0,0.0",1.0,90,3149638.097827,189.8331,80.2368,206.7831,1.32,1.0893,0.70493,0.0,0.13113,0.56302,0,0,0,HEALTHY
terere,original,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,original,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,30,2693568.01353,189.8331,75.6011,187.6843,1.1288,1.0,0.25797,0.0,0.05246,0.20367,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,30,2693568.01353,189.8331,75.6011,187.6843,1.1288,1.0,0.25797,0.0,0.05246,0.20367,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,30,2693568.01353,189.8331,75.6011,187.6843,1.1288,1.0,0.25797,0.0,0.05246,0.20367,0,0,0,HEALTHY
terere,original,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,60,2914774.764589,189.8331,75.6011,203.0977,1.2215,1.0699,0.49836,0.0,0.10134,0.39346,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,60,2914774.764589,189.8331,75.6011,203.0977,1.2215,1.0699,0.49836,0.0,0.10134,0.39346,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,60,2914774.709842,189.8331,75.6011,203.0977,1.2215,1.0699,0.49836,0.0,0.10134,0.39346,0,0,0,HEALTHY
terere,original,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,90,3150386.817056,189.8331,80.2342,206.839,1.3203,1.0896,0.70479,0.0,0.14331,0.55644,0,0,0,HEALTHY
terere,4inf,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,90,3150386.817056,189.8331,80.2342,206.839,1.3203,1.0896,0.70479,0.0,0.14331,0.55644,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_R_Calf,"1.0,0.0,0.0",1.0,90,3150386.817056,189.8331,80.2342,206.839,1.3203,1.0896,0.70479,0.0,0.14331,0.55644,0,0,0,HEALTHY
terere,original,CC_Base_Spine01,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,4inf,CC_Base_Spine01,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
terere,twist_collapsed,CC_Base_Spine01,"1.0,0.0,0.0",1.0,0,2386140.073309,189.8331,75.6011,166.2632,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,HEALTHY
